ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2602218VFVVBGS,Hoàn thành,225305476280855,2026-02-20 23:51:16,2026-02-26 12:14:29,2026-02-20 22:39:55,FEELEX STORE VN,763275998,Shopee Mall(Non-CB),16762221186,"Bao cao su Feelex Platinum cao cấp siêu mỏng, nhiều gel bôi trơn - hộp 10 bcs",295402580432,Normal Product,410459560292887_0_0,Sức Khỏe,Hỗ trợ tình dục,Bao cao su,185000,1,XTRA Comm,,156326,,4.50%,7034.67,3.00%,4689.78,11724.45,17453.7,11635.8,29089.5,,0,0.00%,0,100.00%,29089.5,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602218VFVVBGS,Hoàn thành,225305476280855,2026-02-20 23:51:16,2026-02-26 12:14:29,2026-02-20 22:39:55,FEELEX STORE VN,763275998,Shopee Mall(Non-CB),17762614035,"Combo bao cao su Feelex siêu mỏng 5 trong 1 đa dạng, nhiều tính năng, nhiều gel bôi trơn",270978585818,Normal Product,410459560292887_0_0,Sức Khỏe,Hỗ trợ tình dục,Bao cao su,0,1,XTRA Comm,,0,,4.50%,0,3.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602218VFVVBGS,Hoàn thành,225305476280855,2026-02-20 23:51:16,2026-02-26 12:14:29,2026-02-20 22:39:55,FEELEX STORE VN,763275998,Shopee Mall(Non-CB),17770716789,"Bao cao su Feelex siêu mỏng, nhiều gel bôi trơn, hương thơm gân gai, kéo dài thời gian quan hệ",117925539243,Normal Product,410459560292887_0_0,Sức Khỏe,Hỗ trợ tình dục,Bao cao su,159000,1,XTRA Comm,,134356,,4.50%,6046.02,3.00%,4030.68,10076.7,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602218VFVVBGS,Hoàn thành,225305476280855,2026-02-20 23:51:16,2026-02-26 12:14:29,2026-02-20 22:39:55,FEELEX STORE VN,763275998,Shopee Mall(Non-CB),17770716789,"Bao cao su Feelex siêu mỏng, nhiều gel bôi trơn, hương thơm gân gai, kéo dài thời gian quan hệ",200838602525,Normal Product,410459560292887_0_0,Sức Khỏe,Hỗ trợ tình dục,Bao cao su,115000,1,XTRA Comm,,97178,,4.50%,4373.01,3.00%,2915.34,7288.35,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602218VFVVBGS,Hoàn thành,225305476280855,2026-02-20 23:51:16,2026-02-26 12:14:29,2026-02-20 22:39:55,FEELEX STORE VN,763275998,Shopee Mall(Non-CB),21742420069,"Bao cao su Feelex đỏ Passionate Factor mỏng, truyền nhiệt tốt, cảm giác chân thật, hộp 10 bcs",182152453231,Normal Product,410459560292887_0_0,Sức Khỏe,Hỗ trợ tình dục,Bao cao su,0,1,XTRA Comm,,0,,4.50%,0,3.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602218UKQKSH3,Hoàn thành,225304531234443,2026-02-20 23:35:31,2026-02-24 19:54:34,2026-02-20 22:09:27,khocuathy_mualegiasi,1468265666,Preferred(Non-CB),28731374045,[ GIÁ SỈ 18k ] CHỔI CHÀ SÀN 2 IN 1 - HÀNG ĐỒNG GIÁ - KHO CỦA THY,118638372519,Normal Product,,Nhà cửa & Đời sống,Dụng cụ chăm sóc nhà cửa,Chổi,19497,1,Shopee Comm,,19497,,4.50%,877.365,0.00%,0,877.365,877.365,0,877.365,,0,0.00%,0,100.00%,877.365,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYGiayBetXinh0801,,,,Others
2602218UE1DY65,Hoàn thành,225304340205111,2026-02-20 23:32:21,2026-02-24 16:59:59,2026-02-20 22:55:26,Khỏe Đẹp 365- Beauty Cosmetic,86580273,Preferred(Non-CB),54451844322,(Mới) Viên uống hỗ trợ SLIMMING CARE date mới,287193012822,Normal Product,,Sức Khỏe,Thực phẩm chức năng,Hỗ trợ kiểm soát cân nặng,465000,1,Shopee Comm,,409200,,4.50%,18414,0.00%,0,18414,18414,0,18414,,0,0.00%,0,100.00%,18414,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Others
2602218U35AWYA,Hoàn thành,225303975204155,2026-02-20 23:26:15,2026-02-27 11:26:43,2026-02-20 22:17:34,BU Baby Vietnam Official,353532270,Shopee Mall(Non-CB),44469593017,Mũ Buộc dây BU Baby ACT194302,271603791982,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Phụ kiện trẻ em & trẻ sơ sinh,Mũ & mũ lưỡi trai,61750,1,XTRA Comm,,23662,,0.00%,0,2.50%,591.55,591.55,0,591.55,591.55,,0,0.00%,0,100.00%,591.55,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,DXYTuiXo0402,,,,Others
2602218U2320F8,Hoàn thành,225303939254526,2026-02-20 23:25:39,2026-02-27 12:18:10,2026-02-20 22:56:37,Nous Viet Nam Official Store,521984042,Shopee Mall(Non-CB),54554641745,"Nous Baby Bodysuit cài lệch ngắn tay cho bé, body cộc tay chất petit mềm mịn basic bé dưới 10.5kg BST T1",302333229432,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ đồ liền thân,125000,1,XTRA Comm,,107500,,0.00%,0,5.00%,5375,5375,0,5375,5375,,0,0.00%,0,100.00%,5375,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,SHPAAP0725,BBRSoSinhNous3101,,,,Facebook
2602218TU2Y330,Đã hủy,225303704289730,2026-02-20 23:21:44,--,2026-02-20 23:19:39,Nhím Shop26,306460953,Preferred(Non-CB),29780788191,"Set trang trí sinh nhật mẫu mới tone màu Hàn Quốc INS chi bé trai , bé gái",198349111239,Normal Product,,Nhà cửa & Đời sống,Trang trí tiệc tùng,Bong bóng,199000,0,XTRA Comm,,0,199000,4.50%,0,2.50%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
